config_rule,guidance,client,service,function,keys_to_get,doc_link
access-keys-rotated,Ensure that active IAM access keys are rotated (changed) within the numberof days speciﬁed in maxAccess KeyAge. The rule is NON_COMPLIANT if access keys are not rotated within the speciﬁed time period. the default value is 90 days.,iam,iam,get_access_key_last_used,"IAM, KeyAge, the default",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/iam.html#IAM.Client.get_access_key_last_used
acm-certiﬁcate-rsa-check,Ensure that RSA certiﬁcates managed by AWS Certiﬁcate Manager (ACM) have a key length of at least '2048' bits.The rule is NON_COMPLIANT if the minimumkey length is less than 2048 bits.,acm,acm,describe_certificate,"RSA, ACM",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/acm.html#ACM.Client.describe_certificate
acm-pca-root-ca-disabled,Ensure that AWS Private Certiﬁcate Authority (AWS Private CA) has a root CA that is disabled. The rule is NON_COMPLIANT for root CAs with status that is not DISABLED.,acm-pca,acm-pca,describe_certificate_authority,"Private, Authority, CAs, DISABLED",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/acm-pca.html#ACMPCA.Client.describe_certificate_authority
api-gw-cache-enabled-and-encrypted,Ensure that all methods in Amazon API Gateway stages have cache enabled and cache encrypted. The rule is NON_COMPLIANT if any method in an Amazon API Gateway stage is not conﬁgured to cache or the cache is not encrypted.,apigateway,apigateway,get_stage,,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/apigateway.html#APIGateway.Client.get_stage
api-gw-endpoint-type-check,Ensure that Amazon API Gateway APIs are of the type speciﬁed in the rule parameter 'endpointConﬁgurationType'. The rule returns NON_COMPLIANT if the REST API does not match the endpoint type conﬁgured in the rule parameter.,apigateway,apigateway,get_stage,"APIs, REST",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/apigateway.html#APIGateway.Client.get_stage
api-gw-xray-enabled,Ensure that AWS X-Ray tracing is enabled on Amazon API Gateway REST APIs. The rule is COMPLIANT if X-Ray tracing is enabled and NON_COMPLIANT otherwise.,apigateway,apigateway,get_stage,"Ray, REST, APIs",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/apigateway.html#APIGateway.Client.get_stage
api-gwv2-access-logs-enabled,Ensure that Amazon API Gateway V2 stages have access logging enabled. The rule is NON_COMPLIANT if 'accessLogSettings' is not present in Stage conﬁguration.,apigatewayv2,apigatewayv2,get_stage,Stage,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/apigatewayv2.html#ApiGatewayV2.Client.get_stage
appsync-associated-with-waf,Ensure that AWS AppSync APIs are associated with AWS WAFv2 web access control lists (ACLs). The rule is NON_COMPLIANT for an AWS AppSync API if it is not associated with a web ACL.,appsync,appsync,get_graphql_api,"AppSync, APIs, WAFv2, ACLs, ACL",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/appsync.html#AppSync.Client.get_graphql_api
appsync-logging-enabled,"Ensure that an AWS AppSync API has logging enabled. The rule is NON_COMPLIANT if logging is not enabled, or 'ﬁeldLogLevel' is neither ERROR nor ALL.",appsync,appsync,get_graphql_api,"AppSync, ERROR, ALL",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/appsync.html#AppSync.Client.get_graphql_api
athena-workgroup-encrypted-at-rest,Ensure that an Amazon Athena workgroup is encrypted at rest. The rule is NON_COMPLIANT if encryption of data at rest is not enabled for an Athena workgroup.,athena,athena,get_work_group,Athena,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/athena.html#Athena.Client.get_work_group
aurora-resources-protected-by-backup-plan,Ensure that Amazon Aurora DB clusters are protected by a backup plan. The rule is NON_COMPLIANT if the Amazon Relational Database Service (Amazon RDS) Database Cluster is not protected by a backup plan.,rds,rds,describe_db_clusters,"Aurora, Relational, Database, RDS, Cluster",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/rds.html#RDS.Client.describe_db_clusters
autoscaling-launchconﬁg-requires-imdsv2,Ensure that only IMDSv2 is enabled. This rule is NON_COMPLIANT if the Metadata version is not included in the launch conﬁguration or if both MetadataV1 and V2 are enabled.,autoscaling,autoscaling,describe_launch_configuration,"IMDSv2, This, Metadata, MetadataV1",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/autoscaling.html#AutoScaling.Client.describe_launch_configuration
backup-recovery-point-manual-deletion-disabled,"Ensure that a backup vault has an attached resource-based policy which prevents deletion of recovery points. The rule is NON_COMPLIANT if the Backup Vault does not have resource- based policies or has policies withouta suitable 'Deny' statement (statement with backup:DeleteRecoveryPoint, backup:UpdateRecoveryPointLifecycle, and backup:PutBackupVaultAccess Policy permissions).",backup,backup,describe_backup_vault,"Backup, Vault, Deny, DeleteRecoveryPoint, UpdateRecoveryPointLifecycle, PutBackupVaultAccess",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/backup.html#Backup.Client.describe_backup_vault
cloudformation-stack-notiﬁcation-check,Ensure that your CloudFormation stacks send event notiﬁcations to an Amazon SNS topic. Optionally ensure that speciﬁed Amazon SNS topics are used. The rule is NON_COMPLIANT if CloudFormation stacks do not send notiﬁcations.,cloudformation,cloudformation,describe_stacks,"CloudFormation, SNS, Optionally",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudformation.html#Cloudformation.Client.describe_stacks
cloudfront-accesslogs-enabled,Ensure that Amazon CloudFront distributions are conﬁgured to deliver access logs to an Amazon S3 bucket. The rule is NON_COMPLIANT if a CloudFront distribution does not have logging conﬁgured.,cloudfront,cloudfront,get_distribution,CloudFront,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudfront.html#CloudFront.Client.get_distribution
cloudfront-associated-with-waf,Ensure that Amazon CloudFront distributions are associated with either web application ﬁrewall (WAF) or WAFv2 web access control lists (ACLs). The rule is NON_COMPLIANT if a CloudFront distribution is not associated with a WAF web ACL.,cloudfront,cloudfront,get_distribution,"CloudFront, WAF, WAFv2, ACLs, ACL",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudfront.html#CloudFront.Client.get_distribution
cloudfront-custom-ssl-certiﬁcate,Ensure that the certiﬁcate associated with an Amazon CloudFront distribution is not the defaultSSL certiﬁcate. The rule is NON_COMPLIANT if a CloudFront distribution uses the default SSL certiﬁcate.,cloudfront,cloudfront,get_distribution,CloudFront,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudfront.html#CloudFront.Client.get_distribution
cloudfront-no-deprecated-ssl-protocols,Ensure that CloudFront distributions are not using deprecated SSL protocols for HTTPS communication between CloudFront edge locations and custom origins. This rule is NON_COMPLIANT for a CloudFront distribution if any'OriginSslProtocols' includes'SSLv3'.,cloudfront,cloudfront,get_distribution,"CloudFront, This, OriginSslProtocols, SSLv3",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudfront.html#CloudFront.Client.get_distribution
cloudfront-origin-access-identity-enabled,"Ensure that CloudFront distribution with Amazon S3 Origin type has origin access identity (OAI) conﬁgured. The rule is NON_COMPLIANT if the CloudFront distribution is backed by S3 and any origin type is not OAI conﬁgured, or the origin is not an S3 bucket.",cloudfront,cloudfront,get_distribution,"CloudFront, Origin, OAI",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudfront.html#CloudFront.Client.get_distribution
cloudfront-s3-origin-access-control-enabled,Ensure that an Amazon CloudFront distribution with an Amazon Simple Storage Service (Amazon S3) Origin type has origin access control (OAC) enabled. The rule is NON_COMPLIANT for CloudFront distributions with Amazon S3 origins that don't have OAC enabled.,cloudfront,cloudfront,get_distribution,"CloudFront, Simple, Storage, Origin, OAC",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudfront.html#CloudFront.Client.get_distribution
cloudfront-security-policy-check,Ensure that Amazon CloudFront distributions are using a minimum security policy and cipher suite of TLSv1.2 or greater for viewer connections. This rule is NON_COMPLIANT for a CloudFront distribution if the minimumProtocolVersion is below TLSv1.2_2018.,cloudfront,cloudfront,get_distribution,"CloudFront, TLSv1, This, 2_2018",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudfront.html#CloudFront.Client.get_distribution
cloudfront-sni-enabled,Ensure that Amazon CloudFront distributions are using a custom SSL certiﬁcate and are conﬁgured to use SNI to serve HTTPS requests. The rule is NON_COMPLIANT if a customSSL certiﬁcate is associated but the SSL support method is a dedicated IP address.,cloudfront,cloudfront,get_distribution,"CloudFront, SNI",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudfront.html#CloudFront.Client.get_distribution
cloudfront-traﬃc-to-origin-encrypted,Ensure that Amazon CloudFront distributions are encrypting traﬃc to custom origins. The rule is NON_COMPLIANT if 'OriginProtocolPolicy' is 'http-only' or if 'OriginProtocolPolicy' is 'match-viewer' and 'ViewerProtocolPolicy' is 'allow-all'.,cloudfront,cloudfront,get_distribution,"CloudFront, OriginProtocolPolicy, ViewerProtocolPolicy",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudfront.html#CloudFront.Client.get_distribution
cloudfront-viewer-policy-https,Ensure that your Amazon CloudFront distributions use HTTPS (directly or via a redirection). The rule is NON_COMPLIANT if the value of ViewerProtocolPolicy is set to 'allow-all' for the DefaultCacheBehavior or for the CacheBehaviors.,cloudfront,cloudfront,get_distribution,"CloudFront, ViewerProtocolPolicy, DefaultCacheBehavior, CacheBehaviors",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudfront.html#CloudFront.Client.get_distribution
cloudtrail-enabled,"Note: For this rule, the rule identiﬁer (CLOUD_TRAIL_ENABLED) and rule name (cloudtrail- enabled) are diﬀerent. Ensure that an AWS CloudTrail trail is enabled in your AWS account. The rule is NON_COMPLIANT if a trail is not enabled. Optionally, the rule checks a speciﬁc S3 bucket, Amazon Simple Notiﬁcation Service (Amazon SNS) topic, and CloudWatch log group.",cloudtrail,cloudtrail,get_trail,"Note, For, CLOUD_TRAIL_ENABLED, CloudTrail, Optionally, Simple, SNS, CloudWatch",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudtrail.html#CloudTrail.Client.get_trail
cloudtrail-security-trail-enabled,"Ensure that there is at least one AWS CloudTrail trail defined with security best practices. This rule is COMPLIANT if there is at least one trail that meets all of the following: records global service events, is a multi-region trail, has Log file validation enabled, encrypted with a KMS key, records events for reads and writes, records management events, does not exclude any management events.",cloudtrail,cloudtrail,get_trail,"CloudTrail, This, Log, KMS",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudtrail.html#CloudTrail.Client.get_trail
cloudwatch-alarm-action-check,"Ensure that CloudWatch alarms have an action conﬁgured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally ensure that any actions match a named ARN. The rule is NON_COMPLIANT if there is no action speciﬁed for the alarm or optional parameter.",cloudwatch,cloudwatch,describe_alarms,"CloudWatch, ALARM, INSUFFICIENT_DATA, Optionally, ARN",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudwatch.html#CloudWatch.Client.describe_alarms
cloudwatch-alarm-resource-check,"Ensure that a resource type has a CloudWatch alarm for the named metric. For resource type,you can specify EBS volumes, EC2 instances, Amazon RDS clusters, or S3 buckets. The rule is COMPLIANT if the named metric has a resource ID and CloudWatch alarm.",cloudwatch,cloudwatch,describe_alarms,"CloudWatch, For, EBS, EC2, RDS",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudwatch.html#CloudWatch.Client.describe_alarms
cloudwatch-alarm-settings-check,Ensure that CloudWatch alarms with the given metric name have the speciﬁed settings.,cloudwatch,cloudwatch,describe_alarms,CloudWatch,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudwatch.html#CloudWatch.Client.describe_alarms
codebuild-project-artifact-encryption,Ensure that an AWS CodeBuild project has encryption enabled for all of its artifacts. The rule is NON_COMPLIANT if 'encryptionDisabled' is set to 'true' for any primary or secondary(if present) artifact conﬁgurations.,codebuild,codebuild,batch_get_projects,CodeBuild,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/codebuild.html#CodeBuild.Client.batch_get_projects
codebuild-project-envvar-awscred-check,Ensure that the project DOES NOT contain environment variables AWS_ACCESS_KEY_ID and AWS_SECRET_ACCESS_KEY. The rule is NON_COMPLIANT when the project environment variables contains plaintext credentials.,codebuild,codebuild,batch_get_projects,"DOES, NOT, AWS_ACCESS_KEY_ID, AWS_SECRET_ACCESS_KEY",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/codebuild.html#CodeBuild.Client.batch_get_projects
codebuild-project-s3-logs-encrypted,Ensure that an AWS CodeBuild project conﬁgured with Amazon S3 Logs has encryption enabled for its logs. The rule is NON_COMPLIANT if 'encryptionDisabled' is set to 'true' in a S3LogsConﬁg of a CodeBuild project.,codebuild,codebuild,batch_get_projects,"CodeBuild, Logs",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/codebuild.html#CodeBuild.Client.batch_get_projects
codebuild-project-source-repo-url-check,Ensure that the Bitbucket source repository URL DOES NOT contain sign-in credentials or not. The rule is NON_COMPLIANT if the URL contains any sign-in information and COMPLIANT if it doesn't.,codebuild,codebuild,batch_get_projects,"Bitbucket, URL, DOES, NOT",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/codebuild.html#CodeBuild.Client.batch_get_projects
codedeploy-lambda-allatonce-traﬃc-shift-disabled,Ensure that the deployment group for Lambda Compute Platform is not using the default deployment conﬁguration. The rule is NON_COMPLIANT if the deployment group is using the deployment conﬁguration 'CodeDeployDefault.LambdaAllAtOnce'.,codedeploy,codedeploy,get_deployment_group,"Lambda, Compute, Platform, CodeDeployDefault, LambdaAllAtOnce",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/codedeploy.html#CodeDeploy.Client.get_deployment_group
codepipeline-deployment-count-check,"Ensure that the ﬁrst deployment stage of AWS CodePipeline performs at least one deployment. This is to monitor continuous deployment activity, ensuring regular updates and identifying inactive or underutilized pipelines, which can signal issues in the development or deployment process. Optionally ensure that eachof the subsequent remaining stages deploy to more than the speciﬁed numberof deployments (deploymentLimit).",codepipeline,codepipeline,get_pipeline,"CodePipeline, This, Optionally",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/codepipeline.html#CodePipeline.Client.get_pipeline
cw-loggroup-retention-period-check,"Ensure that an Amazon CloudWatch LogGroup retention period is set to greater than 365 days or else a speciﬁed retention period. The rule is NON_COMPLIANT if the retention period is less than MinRetentionTime, if speciﬁed, or else 365 days.",logs,cloudwatch-logs,describe_log_groups,"CloudWatch, LogGroup, MinRetentionTime",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudwatch-logs.html#CloudwatchLogs.Client.describe_log_groups
dax-encryption-enabled,Ensure that Amazon DynamoDB Accelerat or (DAX) clusters are encrypted. The rule is NON_COMPLIANT if a DAX cluster is not encrypted.,dax,dax,describe_clusters,"DynamoDB, Accelerat, DAX",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/dax.html#DAX.Client.describe_clusters
dax-tls-endpoint-encryption,Ensure that your Amazon DynamoDB Accelerator (DAX) cluster has ClusterEndpointEncryptionType set to TLS. The rule is NON_COMPLIANT if a DAX cluster is not encrypted by transport layer security (TLS).,dax,dax,describe_clusters,"DynamoDB, Accelerator, DAX, ClusterEndpointEncryptionType",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/dax.html#DAX.Client.describe_clusters
db-instance-backup-enabled,"Ensure that RDSDB instances have backups enabled. Optionally, the rule checks the backup retention period and the backup window.",unknown,unknown,unknown,"RDSDB, Optionally",
dms-endpoint-ssl-conﬁgured,Ensure that AWS Database Migration Service (AWS DMS) endpoints are conﬁgured with anSSL connection. The rule is NON_COMPLIANT if AWS DMS does not have an SSL connection conﬁgured.,dms,dms,describe_endpoints,"Database, Migration, DMS",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/dms.html#DMS.Client.describe_endpoints
dms-redis-tls-enabled,Ensure that AWS Database Migration Service (AWS DMS) endpoints for Redis data stores are enabled for TLS/SSL encryption of data communicated with other endpoints. The rule is NON_COMPLIANT if TLS/SSL encryption is not enabled.,dms,dms,describe_endpoints,"Database, Migration, DMS, Redis",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/dms.html#DMS.Client.describe_endpoints
docdb-cluster-encrypted,Ensure that storage encryption is enabled for your Amazon DocumentDB (with MongoDB compatibi lity) clusters. The rule is NON_COMPLIANT if storage encryption is not enabled.,docdb,docdb,describe_db_clusters,"DocumentDB, MongoDB",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/docdb.html#DocDB.Client.describe_db_clusters
docdb-cluster-snapshot-public-prohibited,Ensure that Amazon DocumentDB manual cluster snapshots are not public. The rule is NON_COMPLIANT if any Amazon DocumentDB manual cluster snapshots are public.,docdb,docdb,describe_db_clusters,DocumentDB,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/docdb.html#DocDB.Client.describe_db_clusters
dynamodb-in-backup-plan,Ensure that Amazon DynamoDB tables are present in AWS Backup Plans. The rule is NON_COMPLIANT if Amazon DynamoDB tables are not present in any AWS Backup plan.,dynamodb,dynamodb,describe_table,"DynamoDB, Backup, Plans",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/dynamodb.html#DynamoDB.Client.describe_table
dynamodb-pitr-enabled,Ensure that point- in-time recovery (PITR) is enabled for Amazon DynamoDB tables. The rule is NON_COMPLIANT if PITR is not enabled for DynamoDB tables.,dynamodb,dynamodb,describe_table,"PITR, DynamoDB",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/dynamodb.html#DynamoDB.Client.describe_table
dynamodb-resources-protected-by-backup-plan,Ensure that Amazon DynamoDB tables are protected by a backup plan. The rule is NON_COMPLIANT if the DynamoDB Table is not covered by a backup plan.,dynamodb,dynamodb,describe_table,"DynamoDB, Table",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/dynamodb.html#DynamoDB.Client.describe_table
dynamodb-table-encrypted-kms,Ensure that Amazon DynamoDB table is encrypted with AWS Key Management Service (KMS). The rule is NON_COMPLIANT if Amazon DynamoDB table is not encrypted with AWS KMS. The rule is also NON_COMPLIANT if the encrypted AWS KMS key is not present in kmsKeyArns input parameter.,dynamodb,dynamodb,describe_table,"DynamoDB, Management, KMS",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/dynamodb.html#DynamoDB.Client.describe_table
dynamodb-table-encryption-enabled,Ensure that the Amazon DynamoDB tables are encrypted and checks their status. The rule is COMPLIANT if the status is enabled or enabling.,dynamodb,dynamodb,describe_table,DynamoDB,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/dynamodb.html#DynamoDB.Client.describe_table
ebs-in-backup-plan,Ensure that Amazon Elastic Block Store (Amazon EBS) volumes are added in backup plans of AWS Backup. The rule is NON_COMPLIANT if Amazon EBS volumes are not included in backup plans.,ec2,ec2,describe_volumes,"Elastic, Block, Store, EBS, Backup",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/ec2.html#EC2.Client.describe_volumes
ebs-resources-protected-by-backup-plan,Ensure that Amazon Elastic Block Store (Amazon EBS) volumes are protected by a backup plan. The rule is NON_COMPLIANT if the Amazon EBS volume is not covered by a backup plan.,ec2,ec2,describe_volumes,"Elastic, Block, Store, EBS",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/ec2.html#EC2.Client.describe_volumes
ec2-client-vpn-not-authorize-all,Ensure that the AWS Client VPN authorization rules does not authorize connection access for all clients. The rule is NON_COMPLIANT if 'AccessAll' is present and set to true.,ec2,ec2,describe_instances,"Client, VPN, AccessAll",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/ec2.html#EC2.Client.describe_instances
ec2-imdsv2-check,Ensure that your Amazon Elastic Compute Cloud (Amazon EC2) instance metadata version is conﬁgured with Instance Metadata Service Version 2 (IMDSv2). The rule is NON_COMPLIANT if the HttpTokens is set to optional.,ec2,ec2,describe_instances,"Elastic, Compute, Cloud, EC2, Instance, Metadata, Version, IMDSv2, HttpTokens",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/ec2.html#EC2.Client.describe_instances
ec2-instance-detailed-monitoring-enabled,Ensure that detailed monitoring is enabled for EC2 instances. The rule is NON_COMPLIANT if detailed monitoring is not enabled.,ec2,ec2,describe_instances,EC2,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/ec2.html#EC2.Client.describe_instances
ec2-instance-proﬁle-attached,Ensure that an EC2 instance has an AWS Identity and Access Management (IAM) proﬁle attached to it. The rule is NON_COMPLIANT if no IAM proﬁle is attached to the EC2 instance.,ec2,ec2,describe_instances,"EC2, Identity, Access, Management, IAM",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/ec2.html#EC2.Client.describe_instances
ec2-launch-template-public-ip-disabled,Ensure that Amazon EC2 Launch Templates are not set to assign public IP addresses to Network Interfaces. The rule is NON_COMPLIANT if the default version of an EC2 Launch Template has at least 1 Network Interface with 'AssociatePublicIpAddress' set to 'true'.,ec2,ec2,describe_instances,"EC2, Launch, Templates, Network, Interfaces, Template, Interface, AssociatePublicIpAddress",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/ec2.html#EC2.Client.describe_instances
ec2-no-amazon-key-pair,Ensure that running Amazon Elastic Compute Cloud (EC2) instances are not launched using amazon key pairs. The rule is NON_COMPLIANT if a running EC2 instance is launched with a key pair.,ec2,ec2,describe_instances,"Elastic, Compute, Cloud, EC2",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/ec2.html#EC2.Client.describe_instances
ec2-resources-protected-by-backup-plan,Ensure that Amazon Elastic Compute Cloud (Amazon EC2) instances are protected by a backup plan. The rule is NON_COMPLIANT if the Amazon EC2 instance is not covered by a backup plan.,ec2,ec2,describe_instances,"Elastic, Compute, Cloud, EC2",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/ec2.html#EC2.Client.describe_instances
ec2-transit-gateway-auto-vpc-attach-disabled,Ensure that Amazon Elastic Compute Cloud (Amazon EC2) Transit Gateways do not have 'AutoAcceptSharedAttachments' enabled. The rule is NON_COMPLIANT for a Transit Gateway if 'AutoAcceptSharedAttachments' is set to 'enable'.,ec2,ec2,describe_instances,"Elastic, Compute, Cloud, EC2, Transit, Gateways, AutoAcceptSharedAttachments",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/ec2.html#EC2.Client.describe_instances
ec2-volume-inuse-check,Ensure that EBS volumes are attached to EC2 instances. Optionally ensure that EBS volumes are marked for deletion when an instance is terminated.,ec2,ec2,describe_instances,"EBS, EC2, Optionally",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/ec2.html#EC2.Client.describe_instances
ecr-private-lifecycle-policy-conﬁgured,Ensure that a private Amazon Elastic Container Registry (ECR) repository has at least one lifecycle policy conﬁgured. The rule is NON_COMPLIANT if no lifecycle policy is conﬁgured for the ECR private repository.,unknown,unknown,unknown,"Elastic, Container, Registry, ECR",
ecs-task-deﬁnition-log-conﬁguration,Ensure that logConﬁguration is set on active ECS Task Deﬁnitions. This rule is NON_COMPLIANT if an active ECSTaskDeﬁnition does not have the logConﬁguration resource deﬁned or the value for logConﬁguration is null in at least one container deﬁnition.,unknown,unknown,unknown,"ECS, Task, This",
ecs-task-deﬁnition-pid-mode-check,Ensure that ECSTaskDeﬁnitions are conﬁgured to share a host's process name space with its Amazon Elastic Container Service (AmazonECS) containers. The rule is NON_COMPLIANT if the pid Mode parameter is set to 'host'.,unknown,unknown,unknown,"Elastic, Container, AmazonECS, Mode",
efs-in-backup-plan,Ensure that Amazon Elastic File System (Amazon EFS) ﬁle systems are added in the backup plans of AWS Backup. The rule is NON_COMPLIANT if EFS ﬁle systems are not included in the backup plans.,efs,efs,describe_file_systems,"Elastic, File, System, EFS, Backup",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/efs.html#EFS.Client.describe_file_systems
